"","Date","Relative_Humidity_(%)","Precipitation_(mm/h)","Temperature_(C)","Wind_Direction_Degrees","Wind_Speed_m/s","Time"
"137",2019-05-12,87.6,0,20.5,NA,NA,NA
"138",2019-05-13,88.2,0,21.2,NA,NA,NA
"139",2019-05-14,86.6,0,21.8,NA,NA,NA
"140",2019-05-15,87.6,0,21.9,NA,NA,NA
"141",2019-05-16,87.6,0,20.9,NA,NA,NA
"142",2019-05-17,87.1,0,20.8,NA,NA,NA
"143",2019-05-18,88.2,0,20.6,NA,NA,NA
"144",2019-05-19,86,0,21.3,NA,NA,NA
"145",2019-05-20,87.3,0,20.5,NA,NA,NA
"146",2019-05-21,87.6,0,21.2,NA,NA,NA
"147",2019-05-22,88.1,0,20.2,NA,NA,NA
"148",2019-05-23,87.5,0,20.2,NA,NA,NA
"149",2019-05-24,88.3,0,19.9,NA,NA,NA
"150",2019-05-25,90.1,0,17.9,NA,NA,NA
"151",2019-05-26,88,0,18.8,NA,NA,NA
"152",2019-05-27,86.3,0,20,NA,NA,NA
"153",2019-05-28,86.2,0,19.8,NA,NA,NA
"154",2019-05-29,88.9,0,19.9,NA,NA,NA
"155",2019-05-30,89.5,0,20.4,NA,NA,NA
"156",2019-05-31,88.5,0,19.2,NA,NA,NA
"157",2019-01-01,84.5,0,23.1,NA,NA,NA
"158",2019-06-01,87,0,19.8,NA,NA,NA
"159",2019-06-02,85.7,0,20.2,NA,NA,NA
"160",2019-06-03,87.1,0,20.5,NA,NA,NA
"161",2019-06-04,87.4,0,19,NA,NA,NA
"162",2019-06-05,88.7,0,19.7,NA,NA,NA
"163",2019-06-06,89,0,19.2,NA,NA,NA
"164",2019-06-07,88.2,0,19.6,NA,NA,NA
"165",2019-06-08,86.8,0,19.3,NA,NA,NA
"166",2019-06-09,88.4,0,19.5,NA,NA,NA
"167",2019-06-10,88.7,0,19.1,NA,NA,NA
"168",2019-06-11,87.6,0,18.8,NA,NA,NA
"169",2019-06-12,88,0,19.3,NA,NA,NA
"170",2019-06-13,87.8,0,18.6,NA,NA,NA
"171",2019-06-14,85.7,0,17.8,NA,NA,NA
"172",2019-06-15,86.9,0,17.8,NA,NA,NA
"173",2019-06-16,91,0,16.2,NA,NA,NA
"174",2019-06-17,91.4,0,16.1,NA,NA,NA
"175",2019-06-18,89.7,0,15.9,NA,NA,NA
"176",2019-06-19,91.5,0,15.8,NA,NA,NA
"177",2019-06-20,89.6,0,16.2,NA,NA,NA
"178",2019-06-21,89.8,0,16.6,NA,NA,NA
"179",2019-06-22,91.1,0,16,NA,NA,NA
"180",2019-06-23,88,0,16.6,NA,NA,NA
"181",2019-06-24,87.6,0,17.4,NA,NA,NA
"182",2019-06-25,88.6,0,16.5,NA,NA,NA
"183",2019-06-26,91.2,0,17.2,NA,NA,NA
"184",2019-06-27,89.6,0,17.5,NA,NA,NA
"185",2019-06-28,89.5,0,17.1,NA,NA,NA
"186",2019-06-29,86.9,0,17.5,NA,NA,NA
"187",2019-06-30,90.9,0,16.3,NA,NA,NA
