"","Date","Relative_Humidity_(%)","Precipitation_(mm/h)","Temperature_(C)","Wind_Direction_Degrees","Wind_Speed_m/s","Time"
"119",2019-04-26,86.5,0,22.7,NA,NA,NA
"120",2019-04-27,89.6,0,21.8,NA,NA,NA
"121",2019-04-28,86.8,0,20.55,NA,NA,NA
"122",2019-04-29,86.3,0,22.3,NA,NA,NA
"123",2019-04-30,86,0,21.4,NA,NA,NA
"124",2019-01-01,84.5,0,23.1,NA,NA,NA
"125",2019-05-01,88.1,0,21.7,NA,NA,NA
"126",2019-05-02,87.6,0,20.95,NA,NA,NA
"127",2019-05-03,84.6,0,19.9,NA,NA,NA
"128",2019-05-04,85.6,0,20.9,NA,NA,NA
"129",2019-05-05,85.3,0,22.6,NA,NA,NA
"130",2019-05-06,85.8,0,21.4,NA,NA,NA
"131",2019-05-07,88.4,0,19.9,NA,NA,NA
"132",2019-05-08,86,0,20.8,NA,NA,NA
"133",2019-05-09,86,0,20.8,NA,NA,NA
"134",2019-05-10,90.9,0,19.75,NA,NA,NA
"135",2019-05-11,86.2,0,20.6,NA,NA,NA
"136",2019-05-12,89.1,0,19.55,NA,NA,NA
"137",2019-05-13,84.5,0,20.9,NA,NA,NA
"138",2019-05-14,89.8,0,20.1,NA,NA,NA
"139",2019-05-15,92.5,0,18.35,NA,NA,NA
"140",2019-05-16,93,0.1,17.6,NA,NA,NA
"141",2019-05-17,88.7,0,19.2,NA,NA,NA
"142",2019-05-18,87.4,0,19.25,NA,NA,NA
"143",2019-05-19,79.1,0,20.25,NA,NA,NA
"144",2019-05-20,89.6,0,19.9,NA,NA,NA
"145",2019-05-21,88.4,0,20.25,NA,NA,NA
"146",2019-05-22,91.4,0.2,19.2,NA,NA,NA
"147",2019-05-23,92.5,0.8,18.1,NA,NA,NA
"148",2019-05-24,96.7,2,17.1,NA,NA,NA
"149",2019-05-25,93.5,0.4,17.85,NA,NA,NA
"150",2019-05-26,90.1,0,17.95,NA,NA,NA
"151",2019-05-27,91.2,0,18.6,NA,NA,NA
"152",2019-05-28,88.5,0,17.7,NA,NA,NA
"153",2019-05-29,89.9,0,17.8,NA,NA,NA
"154",2019-05-30,89.5,0.7,18.65,NA,NA,NA
"155",2019-05-31,92.4,0.2,17.6,NA,NA,NA
"156",2019-01-01,84.5,0,23.1,NA,NA,NA
"157",2019-06-01,94.2,0.3,17.2,NA,NA,NA
"158",2019-06-02,91.1,0,18.2,NA,NA,NA
"159",2019-06-03,93.3,0,17.35,NA,NA,NA
"160",2019-06-04,90.4,1.3,17.05,NA,NA,NA
"161",2019-06-05,95.1,0,16.4,NA,NA,NA
"162",2019-06-06,90.7,0.3,17.15,NA,NA,NA
"163",2019-06-07,92.6,0,16.8,NA,NA,NA
"164",2019-06-08,92.9,0,16.8,NA,NA,NA
"165",2019-06-09,95.4,0.3,16.65,NA,NA,NA
"166",2019-06-10,94.8,0,16.75,NA,NA,NA
"167",2019-06-11,93.5,0.2,16.75,NA,NA,NA
"168",2019-06-12,90.2,0,17.15,NA,NA,NA
"169",2019-06-13,88.9,0,17.65,NA,NA,NA
"170",2019-06-14,89.1,0,17.05,NA,NA,NA
"171",2019-06-15,90.6,0.4,17.05,NA,NA,NA
"172",2019-06-16,93.3,0.1,16.85,NA,NA,NA
"173",2019-06-17,93.5,0.6,16.4,NA,NA,NA
"174",2019-06-18,93.4,0.5,16.2,NA,NA,NA
"175",2019-06-19,94.7,0.5,16.25,NA,NA,NA
"176",2019-06-20,96.3,0.5,15.95,NA,NA,NA
"177",2019-06-21,93.2,0.2,16.2,NA,NA,NA
"178",2019-06-22,92.6,0,16.2,NA,NA,NA
"179",2019-06-23,88.1,0,17.6,NA,NA,NA
"180",2019-06-24,87.3,0,17.75,NA,NA,NA
"181",2019-06-25,90,0,16.6,NA,NA,NA
"182",2019-06-26,90.5,0,17.55,NA,NA,NA
"183",2019-06-27,88.7,0,16.75,NA,NA,NA
"184",2019-06-28,90.7,0,16.75,NA,NA,NA
"185",2019-06-29,91.8,0.5,17.3,NA,NA,NA
"186",2019-06-30,92.2,0,17.4,NA,NA,NA
"187",2019-01-01,84.5,0,23.1,NA,NA,NA
"188",2019-07-01,95.1,0.4,16.95,NA,NA,NA
"189",2019-07-02,94.5,0.1,16.85,NA,NA,NA
"190",2019-07-03,92.9,0,16.5,NA,NA,NA
"191",2019-07-04,90.2,0,16.85,NA,NA,NA
"192",2019-07-05,94.7,0,16.1,NA,NA,NA
"193",2019-07-06,93.5,0,16.65,NA,NA,NA
"194",2019-07-07,88.6,0,17.15,NA,NA,NA
"195",2019-07-08,92.3,0,16.7,NA,NA,NA
"196",2019-07-09,88.3,0.4,16.95,NA,NA,NA
"197",2019-07-10,91.8,0,16.85,NA,NA,NA
"198",2019-07-11,92,0,17.15,NA,NA,NA
"199",2019-07-12,93.8,0,16.35,NA,NA,NA
"200",2019-07-13,91.8,0.6,16,NA,NA,NA
"201",2019-07-14,90.9,0,16.2,NA,NA,NA
"202",2019-07-15,92.8,0.5,15.75,NA,NA,NA
"203",2019-07-16,95.6,0.5,15.5,NA,NA,NA
"204",2019-07-17,92.2,0,16.7,NA,NA,NA
"205",2019-07-18,93.4,0,16,NA,NA,NA
"206",2019-07-19,91.8,0,15.7,NA,NA,NA
"207",2019-07-20,89.4,0.1,16.05,NA,NA,NA
"208",2019-07-21,93,0.4,15.75,NA,NA,NA
"209",2019-07-22,93.4,0.4,15.8,NA,NA,NA
"210",2019-07-23,92.7,0,16.1,NA,NA,NA
"211",2019-07-24,92.6,0,15.6,NA,NA,NA
"212",2019-07-25,90.8,0,16.65,NA,NA,NA
"213",2019-07-26,90.7,0,16.4,NA,NA,NA
"214",2019-07-27,91.2,0.3,15.1,NA,NA,NA
"215",2019-07-28,92.2,0,14.85,NA,NA,NA
"216",2019-07-29,93.6,0.2,14.4,NA,NA,NA
"217",2019-07-30,88,0,15.1,NA,NA,NA
"218",2019-07-31,89,0,15.1,NA,NA,NA
